"","year","rank","restaurant","location","country","lat","lng"
"155",2005,5,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"156",2005,6,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"157",2005,7,"Per Se","New York","United States",40.7127753,-74.0059728
"158",2005,8,"Tom Aikens","London","United Kingdom",51.5072178,-0.1275862
"159",2005,9,"Jean Georges","New York","United States",40.7127753,-74.0059728
"160",2005,10,"St John","London","United Kingdom",51.5072178,-0.1275862
"161",2005,11,"Bras","Laguiole","France",44.683579,2.845605
"162",2005,12,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"163",2005,13,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"164",2005,14,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"165",2005,15,"Gramercy Tavern","New York","United States",40.7127753,-74.0059728
"166",2005,16,"Guy Savoy","Paris","France",48.8575475,2.3513765
"167",2005,17,"Alain Ducasse","Paris","France",48.8575475,2.3513765
"168",2005,18,"Sketch","London","United Kingdom",51.5072178,-0.1275862
"169",2005,19,"The Waterside Inn","London","United Kingdom",51.5072178,-0.1275862
"170",2005,20,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"171",2005,21,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"172",2005,22,"Can Fabes","Barcelona","Spain",41.3873974,2.168568
"173",2005,23,"Checchino Dal 1887","Rome","Italy",41.8967068,12.4822025
"174",2005,24,"Le Meurice","Paris","France",48.8575475,2.3513765
"175",2005,25,"L'Hotel de Ville","Crissier","Switzerland",46.5518687,6.5743458
"176",2005,26,"Arpège","Paris","France",48.8575475,2.3513765
"177",2005,27,"The Connaught","London","United Kingdom",51.5072178,-0.1275862
"178",2005,28,"Le Manoir aux Quat'Saisons","Oxford","United Kingdom",51.7520209,-1.2577263
"179",2005,29,"Le Cinq","Paris","France",48.8575475,2.3513765
"180",2005,30,"Hakkasan","London","United Kingdom",51.5072178,-0.1275862
"181",2005,31,"Cal Pep","Barcelona","Spain",41.3873974,2.168568
"182",2005,32,"Masa","New York","United States",40.7127753,-74.0059728
"183",2005,33,"Flower Drum","Melbourne","Australia",-37.8136276,144.9630576
